Nome da Empresa;Origem;Sub-Origem;Mercado;Produto;Site;País;Estado;Cidade;Logradouro;Numero;Bairro;Complemento;CEP;Telefone;Telefone 2;Observação;            Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato;LinkedIn Contato;Tipo do Serv. Comunicação;ID do Serv. Comunicação;CpfCnpj;Duplicado
Alianca Extracao de Areia Eireli;;;INDÚSTRIAS EXTRATIVAS; Extracao de areia;;BRASIL;BAHIA;Ilheus;Rodovia Ilheus/Olivenca Km 17, S/N;S/N;Zona Rural;;45653-970;(73) 99186-7449 ; (73) 99156-4640 ;; ;arealalianca.ba@gmail.com; ; ;;;;; 10445763000108 ;
Alvopetro S/A Extracao de Petroleo e Gas Natural;;;INDÚSTRIAS EXTRATIVAS; Extracao de petroleo;www.alvopetro.com;BRASIL;BAHIA;Vera Cruz;Rua do Campo, S/N;S/N;Distrito de Jiribatuba;;44470-000;(71) 3432-0917 ; (31) 3227-0300 ;; ;maraujo@alvopetro.com; ; ;;;;; 15240822000389 ;
Amagran Importacao e Exportacao Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de marmore e granito;www.amagran.com;BRASIL;BAHIA;Itarantim;Rodovia Estadual 270 Km 145, S/N;S/N;Regiao das Tres Pontas;;45780-000;(73) 3283-1218 ; (27) 3062-5681 ;; ;adrian@amagran.com; ; (27) 3317-0351;;;;; 03799534000703 ;
Amagran Importacao e Exportacao Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de marmore e granito;www.amagran.com;BRASIL;BAHIA;Potiragua;Fazenda Serra Azul, S/N;S/N;Zona Rural;;45790-000;(73) 3283-1218 ; (27) 3317-0351 ;; ;adrian@amagran.com; ; ;;;;; 03799534000622 ;
Antolini, Exportacao, Importacao e Mineracao Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de quartzito;;BRASIL;BAHIA;Piata;Fazenda Poco D Agua, S/N;S/N;Distrito de Nubia;;46765-000;(27) 2121-0556 ; (27) 2121-0558 ;; ;geologia2@eurobrasil.com; ; ;;;;; 02870306000809 ;
Aratu Mineracao Construcao Ltda;;;INDÚSTRIAS EXTRATIVAS; Expurgo;(71) 2104-2333  / (71) 2104-2300 / (71) 2104-2301;BRASIL;BAHIA;; Energia;S/N; Sem Interesse;; Sem Interesse;Estado:;;; ;Estado:; ;;;;;; 15851736000140 ;
Araujo Transportes Eireli;;;INDÚSTRIAS EXTRATIVAS; Extracao de brita, cascalho e pedregulho;;BRASIL;BAHIA;Retirolandia;Rua Senhor do Bonfim, 16;S/N;Laginha;;48750-000;(75) 99975-2133 ;  ;; ;; ; ;;;;; 23079535000103 ;
Areal H F Ltda;;;INDÚSTRIAS EXTRATIVAS; Areia;;BRASIL;BAHIA;Vitoria da Conquista;Distrito Sao Sebastiao, 02;S/N;Sao Sebastiao;;45102-000;(77) 99991-5585 ; (77) 98859-5568 ;; ;leno-prado@hotmail.com; ; ;;;;; 26332291000109 ;
Areal Nordestina Ltda;;;INDÚSTRIAS EXTRATIVAS; Extracao de areia;;BRASIL;BAHIA;Porto Seguro;Fazenda Nordestina, S/N;S/N;Corrego da Areia;;45810-000;(73) 3270-2093 ; (73) 99933-2523 ;; ;weltongrassi@yahoo.com.br; ; ;;;;; 07329438000167 ;
Armando Jose de Oliveira;;;INDÚSTRIAS EXTRATIVAS; Barita;;BRASIL;BAHIA;Rio do Pires;Fazenda Barauninha, S/N;S/N;Centro;;46550-000;(77) 3693-2416  ; (77) 99115-2906 ;; ;; ; ;;;;; 15084547000190 ;
