Nome da Empresa;Origem;Sub-Origem;Mercado;Produto;Site;País;Estado;Cidade;Logradouro;Numero;Bairro;Complemento;CEP;Telefone;Telefone 2;Observação;            Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato;LinkedIn Contato;Tipo do Serv. Comunicação;ID do Serv. Comunicação;CpfCnpj;Duplicado
1001 Metalurgica Eireli;;;INDÚSTRIAS DE TRANSFORMAÇÃO; Estrutura metalica em geral;;BRASIL;BAHIA;Simoes Filho;Via Urbana - Anexo 1, 2199;S/N;CIA Sul;;43700-000;(71) 3594-7223  ; (71) 3594-7226 ;; ;carlosrsmiranda@uol.com.br; ; ;;;;; 02751657000116 ;
2 JA Industria e Comercio de Moveis Ltda;;;INDÚSTRIAS DE TRANSFORMAÇÃO; Moveis planejados;www.dalmobile.com.br;BRASIL;BAHIA;Lauro de Freitas;Av Santos Dumont, 1662;S/N;Centro;;42702-400;(71) 3024-3062 ; (71) 99407-0136 ;; ;alexandre@dalmobilebahia.com.br; ; ;;;;; 26287564000140 ;
2MH Industria e Comercio de Confeccoes Ltda;;;INDÚSTRIAS DE TRANSFORMAÇÃO; Moda feminina;;BRASIL;BAHIA;Salvador;Av Luis Viana, 8544;S/N;Paralela;;41730-101;(71) 99964-7421 ; (71) 3083-1073 ;; ;supervisorcontabil@elementais.com.br; ; ;;;;; 25034231000147 ;
2S Comercio de Fardas e Equipamentos Eireli;;;INDÚSTRIAS DE TRANSFORMAÇÃO; Uniforme;;BRASIL;BAHIA;Salvador;Rua do Cantagalo, 15;S/N;Mares;;40445-130;(71) 3314-4390 ;  ;; ;2suniformes.ba@gmail.com; ; ;;;;; 26211602000181 ;
3 Ases Extintores Ltda;;;INDÚSTRIAS DE TRANSFORMAÇÃO; Instalacao de sistemas de combate a incendio (extintor, mangueira, hidrante, alarme);;BRASIL;BAHIA;Luis Eduardo Magalhaes;Rua do Tamboril, 442;S/N;Jardim das Acacias 1 Etapa;;47850-000;(77) 99966-5629 ;  ;; ;3ases.s@gmail.com; ; ;;;;; 28312891000130 ;
3 Cerejas Comercio e Confeccao Textil Ltda;;;INDÚSTRIAS DE TRANSFORMAÇÃO; Enxoval para quarto do bebe;;BRASIL;BAHIA;Salvador;Rua das Rosas, 610;S/N;Pituba;;40810-070;(71) 3379-7910 ;  ;; ;adm@trixbaby.com.br; ; ;;;;; 14652106000184 ;
30.1 Malhas Ltda;;;INDÚSTRIAS DE TRANSFORMAÇÃO; Camisa;;BRASIL;BAHIA;Feira de Santana;Av Senhor dos Passos, 1588;S/N;Centro;;44002-368;(75) 3221-8844 ;  ;; ;clave.221@hotmail.com; ; ;;;;; 02700104000134 ;
3A Tecnologia Ltda;;;INDÚSTRIAS DE TRANSFORMAÇÃO; Manutencao e locacao de equipamentos de seguranca eletronica (catracas, gerador de neblina);www.advanceseguranca.com.br;BRASIL;BAHIA;Salvador;Rua Itajuipe, 399-B;S/N;Pernambues;;41820-020;(71) 98729-2438 ; (71) 3431-1000 ;; ;comercial@advanceseguranca.com.br; ; ;;;;; 14199825000191 ;
3Achieve Engenheria e Automacao Ltda;;;INDÚSTRIAS DE TRANSFORMAÇÃO; Automacao industrial;www.3achieve.com.br;BRASIL;BAHIA;Salvador;Rua Maragogipe, 189;S/N;Rio Vermelho;;41940-240;(71) 3018-3333 ; (71) 99963-0917 ;; ;contato@3achieve.com.br; ; ;;;;; 10902504000150 ;
3D Servicos Graficos Ltda;;;INDÚSTRIAS DE TRANSFORMAÇÃO; Bobina termica  Cartao de visita;Site:;BRASIL;BAHIA;Município:;Logradouro:;S/N;Bairro:;;CEP:;Email:;;; ;Email:; ;;;;;; 03165536000155 ;
