Nome da Empresa;Origem;Sub-Origem;Mercado;Produto;Site;País;Estado;Cidade;Logradouro;Numero;Bairro;Complemento;CEP;Telefone;Telefone 2;Observação;            Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato;LinkedIn Contato;Tipo do Serv. Comunicação;ID do Serv. Comunicação;CpfCnpj;Duplicado
Andorinha Energias Renovaveis S/A;;;ELETRICIDADE E GÁS; Geracao de energia eletrica;www.atlanticenergias.com.br;BRASIL;BAHIA;Campo Formoso;Rodovia BA-220, Povado Varzinha, S/N;S/N;Zona Rural;;44790-000;(41) 3079-7100 ;  ;; ;contato@atlanticenergias.com.br; ; ;;;;; 17613512000207 ;
Bahia PCH I S/A;;;ELETRICIDADE E GÁS; Geracao de energia eletrica;;BRASIL;BAHIA;Sao Desiderio;Rod BA-462 Km 29, S/N;S/N;Zona Rural;;47820-000;(77) 3623-2109 ;  ;; ;elio.costa@contourglobal.com; ; ;;;;; 08747075000223 ;
Banda de Couro Energetica S/A;;;ELETRICIDADE E GÁS; Energia eolica;www.brennandenergia.com.br;BRASIL;BAHIA;Sento Se;Fazenda Roca Nova, S/N;S/N;Zona Rural;;47350-000;(81) 2137-7000 ; (74) 3612-2188 ;; ;sergio.guerra@sentoseolicas.com.br; ; ;;;;; 19905727000227 ;
Baraunas I Energeticas S/A;;;ELETRICIDADE E GÁS; Energia eolica;www.brennandenergia.com.br;BRASIL;BAHIA;Sento Se;Fazenda Boca da Caixa, S/N;S/N;Zona Rural;;47350-000;(81) 2137-7000 ; (74) 3612-2188 ;; ;sergio.guerra@sentoseolicas.com.br; ; ;;;;; 19354626000205 ;
Baraunas II Energeticas S/A;;;ELETRICIDADE E GÁS; Energia eolica;www.brennandenergia.com.br;BRASIL;BAHIA;Sento Se;Fazenda Roca Nova, S/N;S/N;Zona Rural;;47350-000;(81) 2137-7000 ; (74) 3612-2188 ;; ;sergio.guerra@sentoseolicas.com.br; ; ;;;;; 19905679000277 ;
Campo Formoso I Energias Renovaveis S/A;;;ELETRICIDADE E GÁS; Geracao de energia eolica;www.atlanticenergias.com.br;BRASIL;BAHIA;Campo Formoso;Rod BA-220 Povoado Varzinha, S/N;S/N;Zona Rural;;44790-000;(41) 3079-7100 ;  ;; ;contato@atlanticenergias.com.br; ; ;;;;; 17613280000297 ;
Campo Formoso II Energias Renovaveis S/A;;;ELETRICIDADE E GÁS; Geracao de energia eolica;www.atlanticenergias.com.br;BRASIL;BAHIA;Campo Formoso;Rod BA-220 Povoado Varzinha, S/N;S/N;Zona Rural;;44790-000;(41) 3079-7100 ;  ;; ;contato@atlanticenergias.com.br; ; ;;;;; 17613629000290 ;
Candengo Energias Renovaveis Ltda;;;ELETRICIDADE E GÁS; Energia eletrica;www.valenca.com.br;BRASIL;BAHIA;Valenca;Fazenda Candengo, S/N;S/N;Zona Rural;;45400-000;(85) 4006-0588 ; (85) 4006-0565 ;; ;ana.romero@valenca.com.br; ; (85) 3111-2850;;;;; 22454143000297 ;
Casa dos Ventos Energias Renovaveis S/A;;;ELETRICIDADE E GÁS; Instalacao de turbinas para captacao de energia;www.casadosventos.com.br;BRASIL;BAHIA;Lauro de Freitas;Av Santos Dumont, 1883;S/N;Centro;;42700-000;(11) 4084-4200 ; (71) 3029-9752 ;; ;rogerio.roseno@valenca.com.br; ; ;;;;; 10772867000380 ;
Central Eolica Angical S/A;;;ELETRICIDADE E GÁS; Geracao de energia eletrica;;BRASIL;BAHIA;Pindai;Fazenda Pau Ferro, S/N;S/N;Zona Rural;;46360-000;(71) 3404-3060 ;  ;; ;fiscal@ferbasa.com.br; ; ;;;;; 14570783000153 ;
3Eme Industria e Comercio de Confeccoes Ltda;;;ELETRICIDADE E GÁS; Uniforme (industrial, empresarial, hospitalar, restaurante);;BRASIL;BAHIA;Salvador;Rua do Uruguai, 15;S/N;Uruguai;;40454-260;(71) 3356-6586 ;  ;; ;officer5uniformes@gmail.com; ; ;;;;; 13647787000120 ;
3G Premoldados Ltda;;;ELETRICIDADE E GÁS; Muro pre-moldado;(71) 3304-5676 / (71) 99999-6904 / (71) 98695-2236;BRASIL;BAHIA;Terreo; Po de pedra;S/N; Sem Interesse;; Sem Interesse;Estado:;;; ;Estado:; ;;;;;; 11960133000126 ;
A & A Fabrica de Gelo Ltda;;;ELETRICIDADE E GÁS; Gelo;www.geluscatu.com.br;BRASIL;BAHIA;Catu;Rua Rodolfo Goes, 275-B;S/N;Pioneiro;;48110-000;(71) 99966-6445 ;  ;; ;cassiogoes@geluscatu.com.br; ; ;;;;; 26253259000138 ;
A & E Supermercado Ltda;;;ELETRICIDADE E GÁS; Biscoito;;BRASIL;BAHIA;Salvador;Estrada da Cachoeirinha, 1519-B;S/N;Cabula VI;;41181-057;(71) 3371-5443 ;  ;; ;raquelmixcabula@gmail.com; ; ;;;;; 23768927000171 ;
A & S Industria de Biscoitos Ltda;;;ELETRICIDADE E GÁS; Biscoito (polvilho, folheado, tipo champagne);;BRASIL;BAHIA;Santo Antonio de Jesus;Av Antonio Carlos Magalhaes, 456-A;S/N;Sao Benedito;;44573-440;(75) 3631-3284 ;  ;; ;biscoitosoares@hotmail.com; ; ;;;;; 22192712000192 ;
A + Locacao de Veiculos e Transportes Ltda;;;ELETRICIDADE E GÁS; Coleta de lixo;;BRASIL;BAHIA;Amelia Rodrigues;Rua Amanda de Assis Costa, S/N;S/N;Cento e Quinze;;44230-000;(75) 99993-6668 ;  ;; ;maislimpezaurbana@gmail.com; ; ;;;;; 14766158000181 ;
A A & J Cunha Industria e Comercio de Materiais de Construcao Ltda;;;ELETRICIDADE E GÁS; Argamassa;www.argamassavitoria.com.br;BRASIL;BAHIA;Vitoria da Conquista;Rua 01, Chacaras 7/8 Quadra AB, S/N;S/N;Vila Elisa;;45000-970;(77) 99964-6345  ; (77) 3420-8084 ;; ;argamassavitoria@hotmail.com; ; ;;;;; 04504763000120 ;
A A de Oliveira Serralheria - ME;;;ELETRICIDADE E GÁS; Corrimao;;BRASIL;BAHIA;Santo Estevao;Rua Cezilio Pires Sao Bernardo, 72;S/N;Centro;;44190-000;(75) 98116-6583 ; (75) 99188-5994 ;; ;aadeoliveiraserralheria@gmail.com; ; (75) 99191-8385;;;;; 16586106000159 ;
A A L Comercial Metalurgica Ltda;;;ELETRICIDADE E GÁS; Janela;;BRASIL;BAHIA;Mutuipe;Av do Cruzeiro, 1316;S/N;Centro;;45480-000;(75) 3635-1219 ;  ;; ;ferro-vale@hotmail.com; ; ;;;;; 04488112000194 ;
A A Mota Laticinios - EPP;;;ELETRICIDADE E GÁS; Manteiga;;BRASIL;BAHIA;Feira de Santana;Rua Canguaretama, 55;S/N;Sitio Matias;;44091-334;(75) 3485-3099  ; (75) 3623-2929 ;; ;mota.laticinios@hotmail.com; ; ;;;;; 04082105000198 ;
A Alves Lima;;;ELETRICIDADE E GÁS; Toldo;;BRASIL;BAHIA;Itabuna;Av Juca Leao, 330;S/N;Centro;;45600-162;(73) 3211-8180 ; (73) 98834-8008 ;; ;placasul@hotmail.com; ; (73) 98104-6763;;;;; 11014286000180 ;
