Nome da Empresa;Origem;Sub-Origem;Mercado;Produto;Site;País;Estado;Cidade;Logradouro;Numero;Bairro;Complemento;CEP;Telefone;Telefone 2;Observação;            Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato;LinkedIn Contato;Tipo do Serv. Comunicação;ID do Serv. Comunicação;CpfCnpj;Duplicado
A + Locacao de Veiculos e Transportes Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Coleta de lixo;;BRASIL;BAHIA;Amelia Rodrigues;Rua Amanda de Assis Costa, S/N;S/N;Cento e Quinze;;44230-000;(75) 99993-6668 ;  ;; ;maislimpezaurbana@gmail.com; ; ;;;;; 14766158000181 ;
A Limpcano Desentupimento e Succao de Fossas Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Desobstrucao de tubulacao;www.limpcano.com.br;BRASIL;BAHIA;Salvador;Rua Guary, 18;S/N;Daniel Lisboa;;40283-790;(71) 3356-4555 ;  ;; ;limpcano@limpcano.com.br; ; ;;;;; 16390536000109 ;
A M Empreendimentos e Servicos Eireli - EPP;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Coleta de lixo urbano;;BRASIL;BAHIA;Capim Grosso;Rua 15 de Novembro, S/N;S/N;Centro;;44695-000;(75) 99148-9929 ; (74) 99113-7575 ;; ;amempreendimentoseservicos@gmail.com; ; ;;;;; 12874063000156 ;
AD Construtora e Empreendimentos Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Material reciclavel;;BRASIL;BAHIA;Maracas;Rua Antonio da Rocha Dias, 145-B;S/N;Centro;;45360-000;(75) 99955-5936 ; (75) 3426-2128 ;; ;miltondegino@yahoo.com.br; ; ;;;;; 17467204000130 ;
Adenilton Francisco da Silva Eireli;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Estaca ecologica;;BRASIL;BAHIA;Elisio Medrado;Fazenda Arco Verde, S/N;S/N;Zona Rural;;45305-000;(75) 98800-0825 ; (75) 98825-2872 ;; ;estacasarcoverde2017@yahoo.com; ; ;;;;; 19203446000141 ;
AJF Transportes e Comercio Eireli;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Coleta de entulho classe A;;BRASIL;BAHIA;Salvador;Rua Direta de Santo Inacio, 08-A;S/N;Jardim Santo Inacio;;41231-010;(71) 3393-0349 ;  ;; ;ajf.ltda@hotmail.com; ; ;;;;; 29269254000191 ;
All Efluentes do Nordeste Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Tratamento de efluentes industriais;www.opersan.com.br;BRASIL;BAHIA;Camacari;Rua Joao Ursulo, S/N;S/N;Polo Petroquimico;;42810-030;(71) 3634-6134 ; (71) 97400-6136 ;; ;contato@opersan.com.br; ; (11) 3504-3200;;;;; 10648922000163 ;
Alo Entulho Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Cacamba;www.aloentulhoba.com.br;BRASIL;BAHIA;Vitoria da Conquista;Av Dep Luis Eduardo Magalhaes, 09-A;S/N;Candeias;;45029-750;(77) 3084-1588 ;  ;; ;contatos@aloentulhoba.com.br; ; ;;;;; 10543613000129 ;
Alvaro Mendes de Freitas Junior ;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Coleta hospitalar;;BRASIL;BAHIA;Salvador;Rua da Matriz, 307;S/N;Valeria;;41300-600;(71) 3301-7446 ; (71) 98859-6263 ;; ;neutrofixresiduos@hotmail.com; ; ;;;;; 07156507000188 ;
Amana Reciclagem de Produtos Ltda;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO; Reciclaveis;;BRASIL;BAHIA;Luis Eduardo Magalhaes;Rua B, S/N;S/N;Lot Centro Indl do Cerrado;;47850-000;(77) 99963-2000  ; (77) 99871-1000 ;; ;recicla_brasil@hotmail.com; ; (77) 99909-0076;;;;; 10343850000146 ;
