Nome da Empresa;Origem;Sub-Origem;Mercado;Produto;Site;País;Estado;Cidade;Logradouro;Numero;Bairro;Complemento;CEP;Telefone;Telefone 2;Observação;            Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato;LinkedIn Contato;Tipo do Serv. Comunicação;ID do Serv. Comunicação;CpfCnpj;Duplicado
2MS Engenharia Ltda;;;CONSTRUÇÃO; Construcao civil;www.2msengenharia.com.br;BRASIL;BAHIA;Ipira;Av Cesar Cabral, 164;S/N;Centro;;44600-000;(71) 3038-5902 ; (71) 3038-5901 ;; ;monique.amaral@2msengenharia.com.br; ; ;;;;; 03407182000108 ;
3Conect Instalacoes e Servicos Ltda;;;CONSTRUÇÃO;Lista de Insumos:;www.3connect.com.br;BRASIL;BAHIA;Salvador;Av Dom Joao VI, 342;S/N;Brotas;;40285-001;(71) 3303-9671 ; (71) 99906-2700 ;; ;joebert@3connect.com.br; ; ;;;;; 14007099000168 ;
3I Incorporacoes e Investimentos Imobiliarios Ltda;;;CONSTRUÇÃO; Areia;www.3iincorporacoes.com.br;BRASIL;BAHIA;Salvador;Av Tancredo Neves, 1189;S/N;Caminho das Arvores;;41820-021;(71) 3271-0123  ;  ;; ;3i@3iincorporacoes.com.br; ; ;;;;; 00290755000178 ;
3XT Construcoes e Tecnologia Ltda;;;CONSTRUÇÃO; Reforma;;BRASIL;BAHIA;Lauro de Freitas;Rua Dr Gerino Souza Filho, 1735;S/N;Centro;;42700-000;(71) 3646-9405  ; (71) 3646-9400 ;; ;nivania_3xt@hotmail.com; ; ;;;;; 04209893000130 ;
4U Construcoes Ltda;;;CONSTRUÇÃO; Locacao de guindaste;;BRASIL;BAHIA;Salvador;Av Estados Unidos, 528;S/N;Comercio;;40010-020;(71) 3037-8537 ;  ;; ;juanlorenzousabiaga@quatrou.com.br; ; ;;;;; 19894985000174 ;
800-D Engenharia Eireli;;;CONSTRUÇÃO; Obras de engenharia Lista de Insumos:;Site:;BRASIL;BAHIA;Município:;Logradouro:;S/N;Bairro:;;CEP:;Email:;;; ;Email:; ;;;;;; 02214613000157 ;
A & L Gesso Ltda;;;CONSTRUÇÃO; Moldura de gesso;;BRASIL;BAHIA;Itamaraju;Praca das Nacoes Unidas, 273-A;S/N;Centro;;45836-000;(73) 99824-6351 ; (73) 3294-3769 ;; ;asgesso@outlook.com; ; ;;;;; 21011047000120 ;
A de J Santos Seg Eletronica;;;CONSTRUÇÃO; Instalacao e manutencao de sistema de seguranca eletronica;;BRASIL;BAHIA;Feira de Santana;Rua Carlos Alberto, 465;S/N;Cidade Nova;;44053-274;(75) 99204-6690 ;  ;; ;saassistenciatecnica@yahoo.com.br; ; ;;;;; 18769161000100 ;
A F S Construcoes e Empreendimentos Eireli;;;CONSTRUÇÃO;Lista de Insumos:;;BRASIL;BAHIA;Feira de Santana;Rua Padre Henrique Borges da Silva, 26;S/N;Muchila;;44076-340;(75) 3021-1549 ; (75) 99178-0000 ;; ;construtoraafs@gmail.com; ; ;;;;; 14803837000183 ;
A G B Extintores e Engenharia Ltda;;;CONSTRUÇÃO; Instalacao e manutencao em extintores;;BRASIL;BAHIA;Teixeira de Freitas;Rua Paraiba, 53;S/N;Sao Lourenco;;45992-009;(73) 2011-0767 ; (73) 99995-1824 ;; ;agbextintores@gmail.com; ; ;;;;; 17829146000147 ;
3Conect Instalacoes e Servicos Ltda;;;CONSTRUÇÃO;Lista de Insumos:;www.3connect.com.br;BRASIL;BAHIA;Salvador;Av Dom Joao VI, 342;S/N;Brotas;;40285-001;(71) 3303-9671 ; (71) 99906-2700 ;; ;joebert@3connect.com.br; ; ;;;;; 14007099000168 ;
3D Servicos Graficos Ltda;;;CONSTRUÇÃO; Bobina termica  Cartao de visita;Site:;BRASIL;BAHIA;Município:;Logradouro:;S/N;Bairro:;;CEP:;Email:;;; ;Email:; ;;;;;; 03165536000155 ;
3Eme Industria e Comercio de Confeccoes Ltda;;;CONSTRUÇÃO; Uniforme (industrial, empresarial, hospitalar, restaurante);;BRASIL;BAHIA;Salvador;Rua do Uruguai, 15;S/N;Uruguai;;40454-260;(71) 3356-6586 ;  ;; ;officer5uniformes@gmail.com; ; ;;;;; 13647787000120 ;
3G Premoldados Ltda;;;CONSTRUÇÃO; Muro pre-moldado;(71) 3304-5676 / (71) 99999-6904 / (71) 98695-2236;BRASIL;BAHIA;Terreo; Po de pedra;S/N; Sem Interesse;; Sem Interesse;Estado:;;; ;Estado:; ;;;;;; 11960133000126 ;
3I Incorporacoes e Investimentos Imobiliarios Ltda;;;CONSTRUÇÃO; Areia;www.3iincorporacoes.com.br;BRASIL;BAHIA;Salvador;Av Tancredo Neves, 1189;S/N;Caminho das Arvores;;41820-021;(71) 3271-0123  ;  ;; ;3i@3iincorporacoes.com.br; ; ;;;;; 00290755000178 ;
