Nome da Empresa;Origem;Sub-Origem;Mercado;Produto;Site;País;Estado;Cidade;Logradouro;Numero;Bairro;Complemento;CEP;Telefone;Telefone 2;Observação;            Nome Contato;E-mail Contato;Cargo Contato;Tel. Contato;Tel. 2 Contato;LinkedIn Contato;Tipo do Serv. Comunicação;ID do Serv. Comunicação;CpfCnpj;Duplicado
AN Pecas e Servicos Eireli;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Manutencao e reparacao mecanica de veiculos automotores;;BRASIL;BAHIA;Salvador;Av Luis Eduardo Magalhaes, 3561;S/N;Sao Goncalo;;41185-000;(71) 3014-3402 ; (71) 3014-2629 ;; ;admauttoflex@uol.com.br; ; (71) 99982-6845;;;;; 08770159000105 ;
Bonoco Freios Comercio e Servicos Ltda;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Recondicionamento de motor;;BRASIL;BAHIA;Salvador;Rua Maria Romana Calmon, 37;S/N;Campinas de Brotas;;40275-236;(71) 3381-7177  ; (71) 3491-0703 ;; ;bonocofreios@gmail.com; ; ;;;;; 04674722000182 ;
Brotascar Auto Pecas Ltda;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Funilaria e pintura de veiculos;www.brotascar.com.br;BRASIL;BAHIA;Salvador;Travessa Teixeira Barros, 22;S/N;Campinas de Brotas;;40275-165;(71) 3418-4000 ; (71) 3418-4011 ;; ;brotascar@yahoo.com.br; ; ;;;;; 13318811000187 ;
Carvalho Rossi Manutencao e Reparacao de Maquinas Ltda;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Mecanica geral;www.toniscar.com.br;BRASIL;BAHIA;Salvador;Av Santiago de Compostela, 351;S/N;Parque Bela Vista;;40279-150;(71) 3015-8700 ;  ;; ;toniscar@terra.com.br; ; ;;;;; 11715263000101 ;
Claudio Alex Pinchemel - ME;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Recondicionamento e recuperacao de motores para veiculos;;BRASIL;BAHIA;Caetite;Av Prefeito Dacio Oliveira, 1104;S/N;Rancho Alegre;;46400-000;(77) 3454-2509 ; (77) 99962-2109 ;; ;claudiopinchemel@hotmail.com; ; ;;;;; 09356133000170 ;
Frank & Tonny Ltda;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Recondicionamento e recuperacao de motores;;BRASIL;BAHIA;Salvador;Av Mario Leal Ferreira, 164;S/N;Cosme de Farias;;40252-390;(71) 3357-2536  ;  ;; ;franktonnyltda@globo.com; ; ;;;;; 40484800000140 ;
Freemotorsba Centro Automotivo Eireli - EPP;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Mecanica em geral;;BRASIL;BAHIA;Salvador;Rua Andre Goncalves, 08;S/N;Pituacu;;41741-020;(71) 3232-6000 ; (71) 3014-0970 ;; ;tatiane@freemotorsba.com.br; ; ;;;;; 10402671000132 ;
Freitas Diesel Comercio de Pecas e Servicos Ltda;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;Lista de Insumos:;;BRASIL;BAHIA;Salvador;Rua CeliKa Nogueira, 255;S/N;Aguas Claras;;41310-200;(71) 32156-177  ; (71) 3215-6272 ;; ;fdieselltda@uol.com.br; ; ;;;;; 14878722000158 ;
HP Retifica de Motores Ltda;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Recondicionamento e recuperacao de motores;www.hpretificademotores.com.br;BRASIL;BAHIA;Salvador;Rua Lucaia, 118;S/N;Rio Vermelho;;41940-660;(71) 3334-4433 ; (71) 3335-4645 ;; ;hpretifica@terra.com.br; ; ;;;;; 13869250000104 ;
Kayque Cosme Rodrigues Sena Cardoso Eireli;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Instalacao e manutencao de ar condicionado automotivo;;BRASIL;BAHIA;Camacari;Av Concentrica, 51;S/N;Alto da Cruz;;42807-091;(71) 98427-4888 ; (71) 99131-4050 ;; ;kayquecosme@gmail.com; ; ;;;;; 25354793000178 ;
3Eme Industria e Comercio de Confeccoes Ltda;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Uniforme (industrial, empresarial, hospitalar, restaurante);;BRASIL;BAHIA;Salvador;Rua do Uruguai, 15;S/N;Uruguai;;40454-260;(71) 3356-6586 ;  ;; ;officer5uniformes@gmail.com; ; ;;;;; 13647787000120 ;
3G Premoldados Ltda;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Muro pre-moldado;(71) 3304-5676 / (71) 99999-6904 / (71) 98695-2236;BRASIL;BAHIA;Terreo; Po de pedra;S/N; Sem Interesse;; Sem Interesse;Estado:;;; ;Estado:; ;;;;;; 11960133000126 ;
A & A Fabrica de Gelo Ltda;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Gelo;www.geluscatu.com.br;BRASIL;BAHIA;Catu;Rua Rodolfo Goes, 275-B;S/N;Pioneiro;;48110-000;(71) 99966-6445 ;  ;; ;cassiogoes@geluscatu.com.br; ; ;;;;; 26253259000138 ;
A & E Supermercado Ltda;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Biscoito;;BRASIL;BAHIA;Salvador;Estrada da Cachoeirinha, 1519-B;S/N;Cabula VI;;41181-057;(71) 3371-5443 ;  ;; ;raquelmixcabula@gmail.com; ; ;;;;; 23768927000171 ;
A & S Industria de Biscoitos Ltda;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Biscoito (polvilho, folheado, tipo champagne);;BRASIL;BAHIA;Santo Antonio de Jesus;Av Antonio Carlos Magalhaes, 456-A;S/N;Sao Benedito;;44573-440;(75) 3631-3284 ;  ;; ;biscoitosoares@hotmail.com; ; ;;;;; 22192712000192 ;
A + Locacao de Veiculos e Transportes Ltda;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Coleta de lixo;;BRASIL;BAHIA;Amelia Rodrigues;Rua Amanda de Assis Costa, S/N;S/N;Cento e Quinze;;44230-000;(75) 99993-6668 ;  ;; ;maislimpezaurbana@gmail.com; ; ;;;;; 14766158000181 ;
A A & J Cunha Industria e Comercio de Materiais de Construcao Ltda;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Argamassa;www.argamassavitoria.com.br;BRASIL;BAHIA;Vitoria da Conquista;Rua 01, Chacaras 7/8 Quadra AB, S/N;S/N;Vila Elisa;;45000-970;(77) 99964-6345  ; (77) 3420-8084 ;; ;argamassavitoria@hotmail.com; ; ;;;;; 04504763000120 ;
A A de Oliveira Serralheria - ME;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Corrimao;;BRASIL;BAHIA;Santo Estevao;Rua Cezilio Pires Sao Bernardo, 72;S/N;Centro;;44190-000;(75) 98116-6583 ; (75) 99188-5994 ;; ;aadeoliveiraserralheria@gmail.com; ; (75) 99191-8385;;;;; 16586106000159 ;
A A L Comercial Metalurgica Ltda;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Janela;;BRASIL;BAHIA;Mutuipe;Av do Cruzeiro, 1316;S/N;Centro;;45480-000;(75) 3635-1219 ;  ;; ;ferro-vale@hotmail.com; ; ;;;;; 04488112000194 ;
A A Mota Laticinios - EPP;;;COMÉRCIO REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; Manteiga;;BRASIL;BAHIA;Feira de Santana;Rua Canguaretama, 55;S/N;Sitio Matias;;44091-334;(75) 3485-3099  ; (75) 3623-2929 ;; ;mota.laticinios@hotmail.com; ; ;;;;; 04082105000198 ;
